year,city,country,avg_temp,5-Year MA,7-Year MA,10-Year MA,20-Year MA
1849,San Francisco,United States,14.12,,,,
1850,San Francisco,United States,13.8,,,,
1851,San Francisco,United States,14.39,,,,
1852,San Francisco,United States,13.81,,,,
1853,San Francisco,United States,14.4,14.104,,,
1854,San Francisco,United States,13.98,14.076,,,
1855,San Francisco,United States,14.2,14.156,14.1,,
1856,San Francisco,United States,14.1,14.098,14.09714286,,
1857,San Francisco,United States,14.78,14.292,14.23714286,,
1858,San Francisco,United States,14.19,14.25,14.20857143,14.177,
1859,San Francisco,United States,13.71,14.196,14.19428571,14.136,
1860,San Francisco,United States,13.81,14.118,14.11,14.137,
1861,San Francisco,United States,14.88,14.274,14.23857143,14.186,
1862,San Francisco,United States,14.43,14.204,14.27142857,14.248,
1863,San Francisco,United States,14.43,14.252,14.31857143,14.251,
1864,San Francisco,United States,15.18,14.546,14.37571429,14.371,
1865,San Francisco,United States,14.32,14.648,14.39428571,14.383,
1866,San Francisco,United States,14.67,14.606,14.53142857,14.44,
1867,San Francisco,United States,14.46,14.612,14.62428571,14.408,
1868,San Francisco,United States,14.25,14.576,14.53428571,14.414,14.2955
1869,San Francisco,United States,14.57,14.454,14.55428571,14.5,14.318
1870,San Francisco,United States,14.19,14.428,14.52,14.538,14.3375
1871,San Francisco,United States,14.34,14.362,14.4,14.484,14.335
1872,San Francisco,United States,14.63,14.396,14.44428571,14.504,14.376
1873,San Francisco,United States,14.46,14.438,14.41428571,14.507,14.379
1874,San Francisco,United States,14.09,14.342,14.36142857,14.398,14.3845
1875,San Francisco,United States,14.76,14.456,14.43428571,14.442,14.4125
1876,San Francisco,United States,14.44,14.476,14.41571429,14.419,14.4295
1877,San Francisco,United States,15.03,14.556,14.53571429,14.476,14.442
1878,San Francisco,United States,14.37,14.538,14.54,14.488,14.451
1879,San Francisco,United States,14.2,14.56,14.47857143,14.451,14.4755
1880,San Francisco,United States,13.22,14.252,14.30142857,14.354,14.446
1881,San Francisco,United States,14.39,14.242,14.34428571,14.359,14.4215
1882,San Francisco,United States,13.58,13.952,14.17571429,14.254,14.379
1883,San Francisco,United States,13.93,13.864,14.10285714,14.201,14.354
1884,San Francisco,United States,14.05,13.834,13.96285714,14.197,14.2975
1885,San Francisco,United States,15.05,14.2,14.06,14.226,14.334
1886,San Francisco,United States,14.58,14.238,14.11428571,14.24,14.3295
1887,San Francisco,United States,14.38,14.398,14.28,14.175,14.3255
1888,San Francisco,United States,14.7,14.552,14.32428571,14.208,14.348
1889,San Francisco,United States,14.81,14.704,14.5,14.269,14.36
1890,San Francisco,United States,14.05,14.504,14.51714286,14.352,14.353
1891,San Francisco,United States,14.46,14.48,14.57571429,14.359,14.359
1892,San Francisco,United States,14.05,14.414,14.43285714,14.406,14.33
1893,San Francisco,United States,13.4,14.154,14.26428571,14.353,14.277
1894,San Francisco,United States,13.8,13.952,14.18142857,14.328,14.2625
1895,San Francisco,United States,13.95,13.932,14.07428571,14.218,14.222
1896,San Francisco,United States,14.22,13.884,13.99,14.182,14.211
1897,San Francisco,United States,13.81,13.836,13.95571429,14.125,14.15
1898,San Francisco,United States,13.77,13.91,13.85714286,14.032,14.12
1899,San Francisco,United States,14.04,13.958,13.85571429,13.955,14.112
1900,San Francisco,United States,14.64,14.096,14.03285714,14.014,14.183
1901,San Francisco,United States,14.34,14.12,14.11,14.002,14.1805
1902,San Francisco,United States,14.07,14.172,14.12714286,14.004,14.205
1903,San Francisco,United States,14.12,14.242,14.11285714,14.076,14.2145
1904,San Francisco,United States,14.5,14.334,14.21142857,14.146,14.237
1905,San Francisco,United States,14.39,14.284,14.3,14.19,14.204
1906,San Francisco,United States,14.81,14.378,14.41,14.249,14.2155
1907,San Francisco,United States,14.34,14.432,14.36714286,14.302,14.2135
1908,San Francisco,United States,14.01,14.41,14.32,14.326,14.179
1909,San Francisco,United States,14.05,14.32,14.31714286,14.327,14.141
1910,San Francisco,United States,14.17,14.276,14.32428571,14.28,14.147
1911,San Francisco,United States,13.46,14.006,14.17571429,14.192,14.097
1912,San Francisco,United States,13.95,13.928,14.11285714,14.18,14.092
1913,San Francisco,United States,14.38,14.002,14.05142857,14.206,14.141
1914,San Francisco,United States,14.33,14.058,14.05,14.189,14.1675
1915,San Francisco,United States,14.3,14.084,14.09142857,14.18,14.185
1916,San Francisco,United States,13.61,14.114,14.02857143,14.06,14.1545
1917,San Francisco,United States,14.06,14.136,14.01285714,14.032,14.167
1918,San Francisco,United States,14.14,14.088,14.11,14.045,14.1855
1919,San Francisco,United States,13.6,13.942,14.06,14,14.1635
1920,San Francisco,United States,13.72,13.826,13.96571429,13.955,14.1175
1921,San Francisco,United States,14.24,13.952,13.95285714,14.033,14.1125
1922,San Francisco,United States,13.61,13.862,13.85428571,13.999,14.0895
1923,San Francisco,United States,14.13,13.86,13.92857143,13.974,14.09
1924,San Francisco,United States,14.1,13.96,13.93428571,13.951,14.07
1925,San Francisco,United States,14.34,14.084,13.96285714,13.955,14.0675
1926,San Francisco,United States,15.14,14.264,14.18285714,14.108,14.084
1927,San Francisco,United States,14.24,14.39,14.25714286,14.126,14.079
1928,San Francisco,United States,14.32,14.428,14.26857143,14.144,14.0945
1929,San Francisco,United States,14.25,14.458,14.36,14.209,14.1045
1930,San Francisco,United States,14.25,14.44,14.37714286,14.262,14.1085
1931,San Francisco,United States,14.93,14.398,14.49571429,14.331,14.182
1932,San Francisco,United States,14.24,14.398,14.48142857,14.394,14.1965
1933,San Francisco,United States,13.93,14.32,14.30857143,14.374,14.174
1934,San Francisco,United States,15.31,14.532,14.46142857,14.495,14.223
1935,San Francisco,United States,14.12,14.506,14.43285714,14.473,14.214
1936,San Francisco,United States,15.13,14.546,14.55857143,14.472,14.29
1937,San Francisco,United States,14.36,14.57,14.57428571,14.484,14.305
1938,San Francisco,United States,14.35,14.654,14.49142857,14.487,14.3155
1939,San Francisco,United States,14.81,14.554,14.57285714,14.543,14.376
1940,San Francisco,United States,15.12,14.754,14.74285714,14.63,14.446
1941,San Francisco,United States,14.98,14.724,14.69571429,14.635,14.483
1942,San Francisco,United States,14.2,14.692,14.70714286,14.631,14.5125
1943,San Francisco,United States,14.72,14.766,14.64857143,14.71,14.542
1944,San Francisco,United States,14.17,14.638,14.62142857,14.596,14.5455
1945,San Francisco,United States,14.41,14.496,14.63,14.625,14.549
1946,San Francisco,United States,13.83,14.266,14.49,14.495,14.4835
1947,San Francisco,United States,14.51,14.328,14.40285714,14.51,14.497
1948,San Francisco,United States,13.65,14.114,14.21285714,14.44,14.4635
1949,San Francisco,United States,13.9,14.06,14.17,14.349,14.446
1950,San Francisco,United States,14.66,14.11,14.16142857,14.303,14.4665
1951,San Francisco,United States,14.06,14.156,14.14571429,14.211,14.423
1952,San Francisco,United States,14.11,14.076,14.10285714,14.202,14.4165
1953,San Francisco,United States,14.42,14.23,14.18714286,14.172,14.441
1954,San Francisco,United States,14.18,14.286,14.14,14.173,14.3845
1955,San Francisco,United States,13.74,14.102,14.15285714,14.106,14.3655
1956,San Francisco,United States,14.08,14.106,14.17857143,14.131,14.313
1957,San Francisco,United States,14.59,14.202,14.16857143,14.139,14.3245
1958,San Francisco,United States,15.41,14.4,14.36142857,14.315,14.3775
1959,San Francisco,United States,15.39,14.642,14.54428571,14.464,14.4065
1960,San Francisco,United States,14.59,14.812,14.56857143,14.457,14.38
1961,San Francisco,United States,14.65,14.926,14.63571429,14.516,14.3635
1962,San Francisco,United States,14.22,14.852,14.70428571,14.527,14.3645
1963,San Francisco,United States,14.19,14.608,14.72,14.504,14.338
1964,San Francisco,United States,14.24,14.378,14.67,14.51,14.3415
1965,San Francisco,United States,14.14,14.288,14.48857143,14.55,14.328
1966,San Francisco,United States,14.74,14.306,14.39571429,14.616,14.3735
1967,San Francisco,United States,14.5,14.362,14.38285714,14.607,14.373
1968,San Francisco,United States,14.66,14.456,14.38428571,14.532,14.4235
1969,San Francisco,United States,14.51,14.51,14.42571429,14.444,14.454
1970,San Francisco,United States,14.76,14.634,14.50714286,14.461,14.459
1971,San Francisco,United States,13.89,14.464,14.45714286,14.385,14.4505
1972,San Francisco,United States,14.25,14.414,14.47285714,14.388,14.4575
1973,San Francisco,United States,14.58,14.398,14.45,14.427,14.4655
1974,San Francisco,United States,14.41,14.378,14.43714286,14.444,14.477
1975,San Francisco,United States,13.82,14.19,14.31714286,14.412,14.481
1976,San Francisco,United States,14.72,14.356,14.34714286,14.41,14.513
1977,San Francisco,United States,14.63,14.432,14.32857143,14.423,14.515
1978,San Francisco,United States,14.96,14.508,14.48142857,14.453,14.4925
1979,San Francisco,United States,14.99,14.624,14.58714286,14.501,14.4725
1980,San Francisco,United States,14.74,14.808,14.61,14.499,14.48
1981,San Francisco,United States,15.22,14.908,14.72571429,14.632,14.5085
1982,San Francisco,United States,14,14.782,14.75142857,14.607,14.4975
1983,San Francisco,United States,15.07,14.804,14.80142857,14.656,14.5415
1984,San Francisco,United States,14.97,14.8,14.85,14.712,14.578
1985,San Francisco,United States,14.23,14.698,14.74571429,14.753,14.5825
1986,San Francisco,United States,15,14.654,14.74714286,14.781,14.5955
1987,San Francisco,United States,14.95,14.844,14.77714286,14.813,14.618
1988,San Francisco,United States,15.08,14.846,14.75714286,14.825,14.639
1989,San Francisco,United States,14.45,14.742,14.82142857,14.771,14.636
1990,San Francisco,United States,14.73,14.842,14.77285714,14.77,14.6345
1991,San Francisco,United States,14.5,14.742,14.70571429,14.698,14.665
1992,San Francisco,United States,15.53,14.858,14.89142857,14.851,14.729
1993,San Francisco,United States,14.97,14.836,14.88714286,14.841,14.7485
1994,San Francisco,United States,14.21,14.788,14.78142857,14.765,14.7385
1995,San Francisco,United States,15.31,14.904,14.81428571,14.873,14.813
1996,San Francisco,United States,15.56,15.116,14.97285714,14.929,14.855
1997,San Francisco,United States,15.75,15.16,15.11857143,15.009,14.911
1998,San Francisco,United States,14.38,15.042,15.10142857,14.939,14.882
1999,San Francisco,United States,14.41,15.082,14.94142857,14.935,14.853
2000,San Francisco,United States,15.02,15.024,14.94857143,14.964,14.867
2001,San Francisco,United States,15.25,14.962,15.09714286,15.039,14.8685
2002,San Francisco,United States,15,14.812,15.05285714,14.986,14.9185
2003,San Francisco,United States,15.43,15.022,15.03428571,15.032,14.9365
2004,San Francisco,United States,15.37,15.214,14.98,15.148,14.9565
2005,San Francisco,United States,15.17,15.244,15.09285714,15.134,15.0035
2006,San Francisco,United States,15.02,15.198,15.18,15.08,15.0045
2007,San Francisco,United States,14.94,15.186,15.16857143,14.999,15.004
2008,San Francisco,United States,15.05,15.11,15.14,15.066,15.0025
2009,San Francisco,United States,15.02,15.04,15.14285714,15.127,15.031
2010,San Francisco,United States,14.67,14.94,15.03428571,15.092,15.028
2011,San Francisco,United States,14.5,14.836,14.91,15.017,15.028
2012,San Francisco,United States,15.05,14.858,14.89285714,15.022,15.004
2013,San Francisco,United States,16.23,15.094,15.06571429,15.102,15.067
